candidate_id,target_rad,delay_substeps,passed,minimum_position_margin_rad,minimum_reserve_margin_rad,minimum_velocity_margin_rad_s,maximum_applied_effort_ratio,saturated_substeps,first_failure_substep,first_failure,limiting_joint,runtime_fixed_candidate_preview_passed
85,-1.02159609375,4,True,0.017351949307892856,0.017251949307892856,19.19291061338667,0.6747260975248119,0,,,,True
85,-1.02159609375,5,True,0.016264926554029557,0.016164926554029558,19.19291061338667,0.6753762485516274,0,,,,True
85,-1.02159609375,6,True,0.015274198901918279,0.01517419890191828,19.19291061338667,0.6760995115042262,0,,,,True
86,-1.006597265625,0,True,0.022174674528232963,0.022074674528232963,19.143651566685026,0.6818435547607468,0,,,,True
86,-1.006597265625,1,True,0.020814789530876787,0.020714789530876788,19.168968918508106,0.681968770064087,0,,,,True
86,-1.006597265625,2,True,0.01955340591650767,0.019453405916507672,19.19291061338667,0.6822711894876753,0,,,,True
86,-1.006597265625,3,True,0.018389713175858358,0.018289713175858358,19.19291061338667,0.6827162049354664,0,,,,True
86,-1.006597265625,4,True,0.017303907743424496,0.017203907743424496,19.19291061338667,0.6832758015269994,0,,,,True
86,-1.006597265625,5,True,0.01621722403566439,0.01611722403566439,19.19291061338667,0.6839259525538149,0,,,,True
86,-1.006597265625,6,True,0.015226823864898709,0.01512682386489871,19.19291061338667,0.6846492155064137,0,,,,True
87,-0.9915984375,0,True,0.022114804601043758,0.02201480460104376,19.137411189796026,0.6903932587629342,0,,,,True
87,-0.9915984375,1,True,0.020755356829176286,0.020655356829176286,19.16294249220704,0.6905184740662744,0,,,,True
87,-0.9915984375,2,True,0.019494402583250636,0.019394402583250637,19.18996376825761,0.6908208934898628,0,,,,True
87,-0.9915984375,3,True,0.018331129973607307,0.018231129973607308,19.19291061338667,0.6912659089376538,0,,,,True
87,-0.9915984375,4,True,0.017255867224035715,0.017155867224035715,19.19291061338667,0.691825505529187,0,,,,True
87,-0.9915984375,5,True,0.016169522534525083,0.016069522534525083,19.19291061338667,0.6924756565560024,0,,,,True
87,-0.9915984375,6,True,0.015179449816715707,0.015079449816715707,19.19291061338667,0.6931989195086012,0,,,,True
88,-0.976599609375,0,True,0.022045732324359246,0.021945732324359247,19.13117041144798,0.6989429627651218,0,,,,True
88,-0.976599609375,1,True,0.020695926542844134,0.020595926542844135,19.1569103692658,0.6990681780684619,0,,,,True
88,-0.976599609375,2,True,0.019435401602413638,0.01933540160241364,19.184195745749548,0.6993705974920502,0,,,,True
88,-0.976599609375,3,True,0.018272549060715626,0.018172549060715627,19.19291061338667,0.6998156129398413,0,,,,True
88,-0.976599609375,4,True,0.017206433728507164,0.017106433728507165,19.19291061338667,0.7003752095313744,0,,,,True
88,-0.976599609375,5,True,0.016121822057805435,0.016021822057805436,19.19291061338667,0.7010253605581899,0,,,,True
88,-0.976599609375,6,True,0.015132076764489799,0.0150320767644898,19.19291061338667,0.7017486235107887,0,,,,True
89,-0.96160078125,0,True,0.02197646192813485,0.02187646192813485,19.124923030358282,0.7074926667673093,0,,,,True
